Song Name,Popularity,Duration (min)
Nikes,74,5.234583333333333
Ivy,84,4.153183333333334
Pink + White,92,3.075266666666667
Be Yourself,64,1.44905
Solo,72,4.289666666666666
Skyline To,67,3.0766666666666667
Self Control,78,4.161116666666667
Good Guy,66,1.1131
Nights,81,5.119183333333333
Solo (Reprise),64,1.3123666666666667
Pretty Sweet,64,2.6413
Facebook Story,60,1.1431333333333333
Close To You,68,1.4292333333333334
White Ferrari,82,4.1467833333333335
Seigfried,72,5.5761666666666665
Godspeed,77,2.9653666666666667
Futura Free,64,9.40275
Start,58,0.7606666666666667
Thinkin Bout You,85,3.3457666666666666
Fertilizer,64,0.6606666666666666
Sierra Leone,69,2.4793333333333334
Sweet Life,70,4.378
Not Just Money,59,0.996
Super Rich Kids,78,5.0793333333333335
Pilot Jones,65,3.068
Crack Rock,72,3.7357666666666667
Pyramids,80,9.882
Lost,86,3.90155
White,66,1.2713333333333334
Monks,65,3.3373333333333335
Bad Religion,69,2.9242166666666667
Pink Matter,78,4.480216666666666
Forrest Gump,70,3.247333333333333
End,61,2.243333333333333
